"","GEO_ID","NAME","Hotels2014","Hotels2015","Hotels2016","Hotels2017","Hotels2018"
"1","72005","Aguadilla Municipio, Puerto Rico",5,3,3,10,10
"2","72011","Añasco Municipio, Puerto Rico",2,2,2,3,3
"3","72013","Arecibo Municipio, Puerto Rico",4,4,3,3,3
"4","72021","Bayamón Municipio, Puerto Rico",4,5,5,4,4
"5","72023","Cabo Rojo Municipio, Puerto Rico",12,10,11,10,7
"6","72025","Caguas Municipio, Puerto Rico",2,2,2,3,3
"7","72031","Carolina Municipio, Puerto Rico",8,9,10,11,10
"8","72049","Culebra Municipio, Puerto Rico",2,3,3,3,3
"9","72051","Dorado Municipio, Puerto Rico",5,4,4,5,5
"10","72071","Isabela Municipio, Puerto Rico",5,5,6,6,4
"11","72079","Lajas Municipio, Puerto Rico",4,5,5,5,4
"12","72085","Las Piedras Municipio, Puerto Rico",2,2,2,4,4
"13","72089","Luquillo Municipio, Puerto Rico",3,3,4,3,3
"14","72097","Mayagüez Municipio, Puerto Rico",2,2,3,4,4
"15","72113","Ponce Municipio, Puerto Rico",7,8,6,10,9
"16","72117","Rincón Municipio, Puerto Rico",6,8,7,9,6
"17","72119","Río Grande Municipio, Puerto Rico",7,8,10,8,6
"18","72123","Salinas Municipio, Puerto Rico",4,4,4,3,3
"19","72127","San Juan Municipio, Puerto Rico",58,59,56,56,60
"20","72137","Toa Baja Municipio, Puerto Rico",3,3,3,3,3
"21","72139","Trujillo Alto Municipio, Puerto Rico",3,3,3,3,3
"22","72147","Vieques Municipio, Puerto Rico",8,9,9,9,8
